time	dest	src	seqn
13:14.078	1	10	25
13:15.393	1	9	25
13:31.252	1	4	26
13:32.243	1	7	26
13:33.545	1	3	26
13:36.249	1	10	26
13:38.404	1	6	26
13:39.095	1	5	26
13:39.421	1	2	26
13:43.804	1	8	26
13:44.627	1	9	26
14:01.350	1	6	27
14:08.413	1	10	27
14:08.741	1	2	27
14:09.646	1	3	27
14:10.197	1	4	27
14:12.261	1	9	27
14:14.187	1	8	27
14:14.532	1	7	27
14:15.642	1	5	27
14:32.482	1	6	28
14:33.717	1	3	28
14:34.710	1	2	28
14:38.118	1	5	28
14:40.235	1	7	28
14:41.522	1	10	28
14:44.109	1	8	28
14:45.494	1	4	28
14:45.682	1	9	28
